,title,subtitle,author,publication_date,language,genre,resource_type,creation_date
0,Painting is a supreme fiction,"writings by Jesse Murry, 1980-1993","[['Murry, Jesse'], ['Earnest, Jarrett'], ['Als, Hilton']]",2021,English,"['text', 'still image']",text,2021
1,"Beat the story-drum, pum-pum",,"[['Bryan, Ashley'], ['Ahern, M. M.'], ['Atheneum (New York, N.Y.)'], ['Connecticut Printers'], ['A. Horowitz & Son']]",1980,English,"['text', 'still image', 'fairy tales.', 'Fairy tales', 'Folklore', 'Fairy tales', 'Dust jackets (Binding)-1980.', 'Folk tales-1980.', ""Authors' autographs (Provenance)-Bryan-1980."", ""Authors' presentation inscription (Provenance)-Bryan-1980."", 'Contes de fées.']",text,1980
2,preparation of the novel,"lecture courses and seminars at the Collège de France, 1978-1979 and 1979-1980","[['Barthes, Roland'], ['Briggs, Kate'], ['Léger, Nathalie']]",2011,English,bibliography,text,2010
3,Information through the printed word,,"[['Machlup, Fritz'], ['Leeson, Kenneth'], ['Leeson, Kenneth']]",1980,English,bibliography,text,1978
4,green book,NaN,"Qaddafi, Muammar",1980,English,government publication,text,1981
5,ancient city ,"a study on the religion, laws, and institutions of Greece and Rome ","[['Fustel de Coulanges,'], ['Momigliano, Arnaldo.']]",c1980,English,bibliography,text,1979
6,Dancehall,the rise of Jamaican dancehall culture,"Lesser, Beth",,English,"['bibliography', 'biography', 'Illustrated works']",text,2008
7,Passion over reason,Tom Thomson & Joyce Wieland = La passion avant la raison : Tom Thomson et Joyce Wieland,"[['Thomson, Tom'], ['Wieland, Joyce'], ['Logan, Zachari'], ['Stanners, Sarah'], ['Dejardin, Ian A. C.'], ['Hudson, Anna'], ['Charles, Daisy'], ['Chevalier, Lucie'], ['Paulson, Ingrid'], ['McMichael Canadian Art Collection']]",2017,English,"['bibliography', 'text', 'still image', 'exhibition catalogs.', ""artists' books (books)"", ""Artists' books"", 'Exhibition catalogs', 'Exhibition catalogs', ""Artists' books"", ""Catalogues d'exposition."", ""Livres d'artistes.""]",text,2017
8,Shomotsu zuihitsu,NaN,"[['Saitō, Shōzō'], ['Gotō, Kenji'], ['斎藤昌三'], ['後藤憲二.']]",1981,Japanese,text,text,1999
9,"Martyrdom, mysticism and dissent",,"Seyed-Gohrab, A. A. (Ali Asghar)",2021,English,"['bibliography', 'text', 'History']",text,2021
10,romanischen Handschriften der Bayerischen Staatsbibliothek,,"[['Klemm, Elisabeth'], ['Klemm, Elisabeth'], ['Bayerische Staatsbibliothek']]",9999,German,"['bibliography', 'Catalogs']",text,1982
11,Essays in medieval culture,,"Robertson, D. W. (Durant Waite)",1980,English,"['bibliography', 'text']",text,1980
